pair,matcher,param_num_disparities,param_block_size,param_p1,param_p2,param_uniqueness_ratio,param_mode_hh,mae,rmse,bad_0_5,bad_1_0,bad_3_0,density,evaluated,gt_valid,elapsed_ms
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,1568,10,False,0.3059651306897304,1.3352267450589337,0.005787611204815292,0.004589667552263048,0.004545571466893027,0.9539154514862591,272133,285280,78.02499999999668
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,1568,10,True,0.25454742316997186,0.8591712160377313,0.0033029006006943806,0.0019214872237632492,0.0018810735345445194,0.954097728547392,272185,285280,136.58183300000104
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,1568,15,False,0.30510665479127097,1.3292848209684924,0.005683823529411765,0.004536764705882353,0.0045,0.9534492428491307,272000,285280,71.54320800000136
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,1568,15,True,0.2538452913788169,0.8510432561783214,0.0032302519155504106,0.0018815574297631516,0.001841133344358084,0.9538523555804823,272115,285280,101.39712499999831
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,3200,5,False,0.33691461735027595,1.552991021482195,0.007370637233108344,0.006194862599711201,0.006150771050958808,0.954013600673023,272161,285280,71.22654099999437
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,3200,5,True,0.24269410584536694,0.7088357489628718,0.00270318910203437,0.001292829570538177,0.001252428646458859,0.9543991867638811,272271,285280,90.04691700000222
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,3200,10,False,0.34077150641314874,1.5805088421936668,0.007516420346159642,0.006362309838240754,0.006325554726523591,0.9536981211441391,272071,285280,70.99483300000031
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,3200,10,True,0.2437700612598474,0.7238447225834618,0.0027326318109195087,0.0013552972288028208,0.0013075496299561088,0.9543781547952889,272265,285280,101.3864170000005
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,3200,15,False,0.33176660453850454,1.5219561988188466,0.007006027244026111,0.005880058579807629,0.005861660399019745,0.9526289960740325,271766,285280,85.80262499999947
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,3200,15,True,0.24588206332370377,0.7532530557082637,0.0028065947629823374,0.0014510535751021249,0.0014179915949099244,0.9542063937184521,272216,285280,110.14450000000409
random-dot-640x480-d64-s0,opencv-sgbm,64,9,392,800,5,False,0.27980664202991307,1.123647434939928,0.004160051743399776,0.0031714882107367554,0.0031567883812547775,0.9538418395961862,272112,285280,75.65783300000106
